Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
56731-BIH,Female,53,Yes,Bihar,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,96,6849,0,0,1935,8785,Stayed,Others,Others
49302-GUJ,Female,47,No,Gujarat,14,4,None,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61,1993,0,0,0,1993,Stayed,Others,Others
73360-AND,Female,74,No,Andhra Pradesh,0,30,None,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,63,2792,0,0,480,3272,Churned,Dissatisfaction,Limited range of services
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25,25,0,0,0,25,Churned,Competitor,Competitor made better offer
11925-MAH,Female,78,Yes,Maharashtra,12,12,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25,1306,0,0,1572,2878,Stayed,Others,Others
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94,1216,0,0,566,1782,Churned,Other,Don't know
86818-MAH,Female,29,Yes,Maharashtra,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84,1850,0,0,803,2653,Stayed,Others,Others
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20,76,0,0,50,126,Churned,Price,Long distance charges
13829-PUN,Female,34,Yes,Punjab,12,26,None,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,31,31,0,0,0,31,Churned,Attitude,Attitude of service provider
19279-UTT,Female,35,No,Uttar Pradesh,14,18,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104,5657,0,20,1927,7604,Stayed,Others,Others
27129-TAM,Male,44,Yes,Tamil Nadu,0,23,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20,1091,0,0,1064,2154,Stayed,Others,Others
81327-JHA,Female,69,Yes,Jharkhand,6,3,Deal 3,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20,472,21,0,980,1431,Stayed,Others,Others
42012-UTT,Female,49,No,Uttar Pradesh,8,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20,1397,0,0,2649,4046,Stayed,Others,Others
79321-MAH,Female,22,Yes,Maharashtra,4,8,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91,3248,0,0,1591,4839,Stayed,Others,Others
82811-HAR,Female,46,Yes,Haryana,2,18,Deal 2,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20,901,0,0,2429,3330,Stayed,Others,Others
36568-HAR,Male,26,Yes,Haryana,7,8,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942,0,0,2889,10831,Stayed,Others,Others
62683-UTT,Female,30,No,Uttar Pradesh,12,20,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,21,1343,31,0,1549,2862,Stayed,Others,Others
18223-MAD,Male,32,No,Madhya Pradesh,14,2,None,No,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39,825,0,0,0,825,Stayed,Others,Others
41111-MAH,Female,32,No,Maharashtra,10,8,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25,1070,0,0,1318,2388,Stayed,Others,Others
74542-MAH,Female,41,No,Maharashtra,15,16,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90,4960,0,0,279,5239,Stayed,Others,Others
18842-HAR,Male,56,Yes,Haryana,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95,5598,0,0,967,6565,Stayed,Others,Others
12210-DEL,Female,52,No,Delhi,0,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20,225,0,0,231,456,Stayed,Others,Others
76566-UTT,Male,61,No,Uttar Pradesh,1,20,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76,1929,0,0,682,2611,Stayed,Others,Others
73036-JAM,Female,66,Yes,Jammu & Kashmir,10,21,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49,91,0,0,88,179,Churned,Competitor,Competitor made better offer
42964-MAH,Female,25,Yes,Maharashtra,3,25,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78,2079,0,0,1321,3400,Stayed,Others,Others
18220-JHA,Male,35,No,Jharkhand,12,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,26,631,44,0,592,1178,Stayed,Others,Others
47645-PUN,Male,51,Yes,Punjab,15,14,None,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,62,1611,45,0,161,1727,Stayed,Others,Others
82015-UTT,Female,52,No,Uttar Pradesh,7,23,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242,12,0,0,1230,Stayed,Others,Others
15644-ASS,Female,22,No,Assam,6,3,None,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85,6316,0,0,2330,8646,Stayed,Others,Others
24801-WES,Female,61,Yes,West Bengal,12,28,None,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51,728,0,0,337,1064,Stayed,Others,Others
85794-JHA,Female,36,No,Jharkhand,5,4,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99,3532,0,0,1275,4807,Stayed,Others,Others
28648-DEL,Male,54,Yes,Delhi,3,14,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94,2608,0,20,59,2687,Stayed,Others,Others
85682-UTT,Female,26,No,Uttarakhand,3,20,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81,5568,0,40,351,5959,Stayed,Others,Others
93096-AND,Male,31,Yes,Andhra Pradesh,9,14,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,100,3767,0,0,951,4718,Stayed,Others,Others
49974-RAJ,Female,73,No,Rajasthan,4,29,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,92,3674,0,0,1766,5439,Stayed,Others,Others
36405-CHH,Male,47,No,Chhattisgarh,9,26,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105,4037,0,0,1508,5544,Churned,Competitor,Competitor had better devices
22439-RAJ,Female,73,Yes,Rajasthan,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120,0,120,127,1368,Churned,Dissatisfaction,Product dissatisfaction
33514-UTT,Female,28,Yes,Uttar Pradesh,2,3,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50,315,0,0,256,571,Stayed,Others,Others
21555-JHA,Female,54,No,Jharkhand,15,34,None,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,65,1888,0,0,79,1968,Stayed,Others,Others
46640-PUN,Male,31,Yes,Punjab,8,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19,530,0,0,558,1088,Stayed,Others,Others
23376-TAM,Female,68,No,Tamil Nadu,3,16,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,105,7309,6,0,2764,10067,Stayed,Others,Others
98423-JAM,Male,65,No,Jammu & Kashmir,5,2,None,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50,2879,10,0,1065,3934,Stayed,Others,Others
34135-MAH,Female,21,No,Maharashtra,9,6,None,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71,1212,0,0,411,1623,Stayed,Others,Others
89530-KAR,Female,58,Yes,Karnataka,15,33,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8183,0,0,2658,10841,Stayed,Others,Others
69173-TAM,Male,27,No,Tamil Nadu,9,27,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20,20,0,0,32,52,Churned,Attitude,Attitude of support person
22286-HAR,Female,54,Yes,Haryana,6,36,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100,100,0,0,41,140,Churned,Competitor,Competitor had better devices
66581-UTT,Female,73,Yes,Uttar Pradesh,8,32,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,94,2861,0,0,1020,3881,Stayed,Others,Others
22573-TAM,Male,46,No,Tamil Nadu,9,35,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91,1442,0,0,779,2222,Stayed,Others,Others
25964-HAR,Male,66,Yes,Haryana,10,1,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84,4059,0,0,1938,5997,Churned,Competitor,Competitor offered higher download speeds
92186-PUN,Female,42,No,Punjab,13,12,Deal 1,No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58,4146,0,0,0,4146,Stayed,Others,Others
39892-ODI,Male,41,Yes,Odisha,3,31,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,108,3646,0,0,1640,5285,Stayed,Others,Others
71292-MAH,Female,18,No,Maharashtra,1,1,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20,188,0,0,496,684,Stayed,Others,Others
31698-PUN,Female,20,Yes,Punjab,15,1,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111,2317,0,120,761,3199,Churned,Attitude,Attitude of service provider
76182-UTT,Male,47,No,Uttar Pradesh,7,10,None,No,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40,1449,0,0,0,1449,Churned,Competitor,Competitor offered more data
73588-KER,Female,72,No,Kerala,14,29,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,86,2194,0,0,877,3071,Stayed,Others,Others
59410-MAH,Male,50,No,Maharashtra,5,17,Deal 2,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35,1749,0,0,0,1749,Stayed,Others,Others
69444-JAM,Female,31,Yes,Jammu & Kashmir,5,10,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74,511,13,0,200,699,Churned,Competitor,Competitor made better offer
66365-UTT,Female,59,Yes,Uttar Pradesh,9,5,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88,5527,0,0,2879,8405,Stayed,Others,Others
66612-TEL,Female,38,Yes,Telangana,8,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,1554,0,0,689,2243,Churned,Attitude,Attitude of service provider
39181-WES,Male,54,Yes,West Bengal,10,7,None,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,46,1147,0,0,0,1147,Stayed,Others,Others
97688-TAM,Female,35,Yes,Tamil Nadu,4,29,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95,6747,0,0,2392,9139,Stayed,Others,Others
71687-KER,Male,69,Yes,Kerala,4,12,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,21,865,0,0,1206,2071,Stayed,Others,Others
34524-MAH,Female,57,No,Maharashtra,13,23,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89,5977,36,40,3219,9200,Stayed,Others,Others
93739-UTT,Female,44,No,Uttar Pradesh,14,6,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86,182,0,0,74,255,Churned,Competitor,Competitor offered higher download speeds
21662-AND,Male,79,Yes,Andhra Pradesh,15,36,None,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,75,3268,18,0,340,3590,Stayed,Others,Others
19096-WES,Female,58,Yes,West Bengal,14,28,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90,1052,0,0,173,1225,Churned,Attitude,Attitude of support person
72489-HAR,Female,73,No,Haryana,11,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110,7634,0,0,1270,8905,Stayed,Others,Others
46624-WES,Female,26,Yes,West Bengal,13,27,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80,80,0,0,1,81,Churned,Price,Lack of affordable download/upload speed
14078-MAH,Female,28,Yes,Maharashtra,6,18,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20,64,0,0,77,141,Churned,Price,Long distance charges
34425-ASS,Male,81,No,Assam,0,21,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86,2401,0,0,80,2481,Stayed,Others,Others
41236-GUJ,Female,54,No,Gujarat,10,12,Deal 3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20,511,0,0,347,858,Stayed,Others,Others
68369-UTT,Female,76,No,Uttar Pradesh,6,12,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,3949,0,0,786,4735,Stayed,Others,Others
91027-CHH,Male,42,No,Chhattisgarh,4,20,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95,2362,0,0,872,3234,Churned,Competitor,Competitor had better devices
85993-KAR,Female,42,Yes,Karnataka,11,1,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,71,71,0,0,40,111,Churned,Competitor,Competitor had better devices
12999-BIH,Female,52,No,Bihar,5,34,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54,1153,0,0,599,1752,Churned,Attitude,Attitude of service provider
48768-MAD,Female,57,No,Madhya Pradesh,12,26,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115,8497,0,0,3483,11979,Stayed,Others,Others
86994-ODI,Female,55,Yes,Odisha,7,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,20,470,0,0,255,726,Stayed,Others,Others
95096-UTT,Male,38,No,Uttar Pradesh,0,32,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87,1564,0,0,149,1713,Stayed,Others,Others
71676-GUJ,Female,18,No,Gujarat,3,6,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25,1848,0,0,653,2501,Stayed,Others,Others
84002-ODI,Male,77,No,Odisha,5,5,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110,3695,0,0,830,4525,Stayed,Others,Others
32553-TAM,Male,52,No,Tamil Nadu,11,1,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87,4017,0,0,51,4069,Stayed,Others,Others
72664-JAM,Female,39,No,Jammu & Kashmir,4,36,None,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108,6826,0,0,109,6935,Stayed,Others,Others
78178-UTT,Male,23,Yes,Uttarakhand,6,1,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116,8310,0,0,204,8514,Stayed,Others,Others
31311-PUN,Male,66,Yes,Punjab,9,8,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605,0,0,294,899,Stayed,Others,Others
78389-KER,Female,51,No,Kerala,4,36,Deal 3,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74,1972,0,0,1260,3232,Stayed,Others,Others
47077-WES,Female,31,Yes,West Bengal,9,3,Deal 3,No,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35,844,0,0,0,844,Stayed,Others,Others
94522-JHA,Male,77,Yes,Jharkhand,0,25,None,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,75,2111,0,0,1158,3270,Stayed,Others,Others
53287-MAH,Female,69,Yes,Maharashtra,3,7,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,106,6206,0,0,983,7188,Churned,Attitude,Attitude of support person
21811-CHH,Male,29,No,Chhattisgarh,13,7,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85,855,0,100,20,976,Churned,Competitor,Competitor offered more data
16554-RAJ,Female,64,No,Rajasthan,2,15,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75,634,0,0,83,717,Stayed,Others,Others
32681-MAH,Female,83,Yes,Maharashtra,3,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84,475,0,0,172,647,Churned,Other,Deceased
92676-MAH,Male,46,No,Maharashtra,1,34,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84,5849,0,40,2685,8574,Stayed,Others,Others
37347-AND,Female,65,No,Andhra Pradesh,4,13,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102,6472,0,0,690,7162,Stayed,Others,Others
53535-ASS,Female,28,No,Assam,11,10,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,116,8128,0,0,715,8842,Churned,Dissatisfaction,Network reliability
39219-KAR,Female,58,Yes,Karnataka,6,35,Deal 3,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25,676,0,0,139,816,Churned,Price,Long distance charges
17059-RAJ,Female,49,Yes,Rajasthan,9,32,Deal 2,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19,864,0,0,1119,1983,Stayed,Others,Others
23294-TAM,Female,68,Yes,Tamil Nadu,8,28,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,115,6050,0,0,616,6665,Stayed,Others,Others
47612-AND,Female,58,Yes,Andhra Pradesh,10,35,None,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105,1583,0,0,336,1919,Churned,Competitor,Competitor made better offer
14331-DEL,Female,46,Yes,Delhi,14,30,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19,198,0,0,99,297,Stayed,Others,Others
76357-UTT,Female,46,No,Uttar Pradesh,5,33,None,No,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50,1099,0,0,0,1099,Stayed,Others,Others
77938-MAD,Female,19,No,Madhya Pradesh,14,11,None,No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58,4039,1,0,0,4038,Stayed,Others,Others
81013-RAJ,Male,51,Yes,Rajasthan,3,29,Deal 3,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,84,2439,0,130,742,3311,Stayed,Others,Others
17799-UTT,Male,21,No,Uttar Pradesh,10,10,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,101,7114,17,0,2012,9109,Stayed,Others,Others
